order,ObjectID,ObjectName,CollectionID,Collection,DateBeginYear,DateEndYear,DateText,Title,Classification,Creator,PrimaryImage
1515,18820,color woodcuts,1,East Asian Art,1838,1862,ca. 1850,Tenka chaya,Prints,"Konishi Hirosada (Japanese, 1810-1864)",http://static.thewalters.org/images/PS3_95.713_Fnt_DD_JP09.jpg
1516,18848,color woodcuts,1,East Asian Art,1790,1817,ca. 1802-1817,Sawamura Tanosuke II as Courtesan Osono,Prints,"Toyokuni (Japanese, 1769-1825)",http://static.thewalters.org/images/PS3_95.402_Fnt_DD_JP09.jpg
1517,18862,paintings,7,18th and 19th Century Art,1886,1886,1886,Portrait of George A. Lucas,Painting & Drawing,"James McNeill Whistler (American, 1834-1903)",http://static.thewalters.org/images/PS1_37.319_Fnt_DD_AT18-014181-tms.jpg
1518,18870,studies; sketches; drawings,7,18th and 19th Century Art,1845,1869,ca. 1857,Study for a Louvre Pediment,Painting & Drawing,"Antoine-Louis Barye (French, 1795 - 1875)",http://static.thewalters.org/images/PL2_37.2207_Fnt_NF_H72.jpg
1519,18882,oil paintings (visual works),8,Renaissance and Baroque Art,1650,1700,2nd half 17th century,Battle Scene,Painting & Drawing,"Attributed to Ciccio Graziani (Italian, active 17th century)",http://static.thewalters.org/images/PL7_37.619_Fnt_BW_H63.jpg
1520,18913,oil paintings (visual works); portraits,7,18th and 19th Century Art,1801,1900,19th century,Portrait of the Rt. Hon. W. E. Gladstone (1809-1898),Painting & Drawing,"John Rogers Herbert, R. A. (English, 1810-1890)",http://static.thewalters.org/images/PL7_37.67_Fnt_BW_H44.jpg
1521,18924,drawings (visual works),7,18th and 19th Century Art,1810,1874,mid 19th century,View of Mountains,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2702_Fnt_DD_KI13.jpg
1522,18940,paintings,8,Renaissance and Baroque Art,1701,1734,18th century,Portrait of the Princess de Bouillon,Painting & Drawing,"Alexis-Simon Belle (French, 1674-1734)",http://static.thewalters.org/images/PL2_37.401_Fnt_BW_H77.jpg
1523,18952,watercolors (paintings),7,18th and 19th Century Art,1867,1867,1867,The Confessional,Painting & Drawing,"James Tissot (French, 1836-1902)",http://static.thewalters.org/images/PL1_37.1374_Fnt_TR_T02.jpg
1524,18953,watercolors (paintings),7,18th and 19th Century Art,1865,1865,1865,Rural Scene,Painting & Drawing,"L\xc3\xa9on Bonvin (French, 1834-1866)",http://static.thewalters.org/images/ARG_37.1515_Fnt_UK.jpg
1525,18964,medallions,4,Ancient Art,1,100,1st century,Fragment of a Mosaic with Mithras,Mosaics & Cosmati,Roman,http://static.thewalters.org/images/PS1_43.7_Fnt_DD_T15.jpg
1526,18980,paintings,8,Renaissance and Baroque Art,1475,1480,1475-1480,Saint Jerome in the Wilderness,Painting & Drawing,"Bernardino Pinturicchio (Italian, ca. 1452-1513)",http://static.thewalters.org/images/PL1_37.1089_Fnt_TR_T03IV.jpg
1527,18986,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,White Plume,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.17_Fnt_DD_KI13.jpg
1528,19020,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,"Camp Fire, Preparing the Evening Meal",Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS1_37.1940.4_Fnt_DD_T06.jpg
1529,19024,drawings (visual works),7,18th and 19th Century Art,1866,1866,1866,The Twelve Months: November,Painting & Drawing,"Paul Gavarni (French, 1804-1866)",http://static.thewalters.org/images/PS1_37.1473_Fnt_DD_T13.jpg
1530,19035,oil paintings (visual works),7,18th and 19th Century Art,1873,1873,1873,Pandora,Painting & Drawing,"Alexandre Cabanel (French, 1823-1889)",http://static.thewalters.org/images/PL1_37.99_Fnt_TR_T91II.jpg
1531,19054,portraits; panel paintings; oil paintings,8,Renaissance and Baroque Art,1588,1589,1588-1589,Portrait of Gerolamo Mercuriale,Painting & Drawing,"Lavinia Fontana (Italian, 1552-1614)",http://static.thewalters.org/images/PL1_37.1106_Fnt_TR_T90II.jpg
1532,19063,oil paintings (visual works),8,Renaissance and Baroque Art,1650,1700,2nd half 17th century,Battle Scene,Painting & Drawing,"Ciccio Graziani (Italian, active 17th century)",http://static.thewalters.org/images/PL7_37.859_Fnt_BW.jpg
